f,en,it,es,pt_BR,fr,nl,ar,ru,de, 
LCK_STAT_FULL,Luck,Fortuna,Suerte,Sorte,Chance,Geluk,,Удача,Glück,幸运值
SUMMON_BUTTON,Summon,Evoca,Convocar,Invocar,Invoquer,Oproeping,,Призыв,Beschwören,召唤
ITEMS_BUTTON,Items,Oggetti,Objetos,Itens,Objets,Voorwerpen,,Предметы,Gegenstände,消耗道具
EQUIP_BUTTON,Equip,Equipaggia,Equipamiento,Equipar,Combiner,Aandoen,,Снаряжение,Ausrüsten,装备道具
COMBINE_BUTTON,Combine,Combina,Combinar,Combinar,Équiper,Combineren,,Комбинирование,Kombinieren,炼金合成
BESTIARY_BUTTON,Bestiary,Bestiario,Bestiario,Bestiário,,Bestiarum,,Бестиарий,Bestiarium,怪物图鉴
SKILLS_BUTTON,Skills,Abilità,Habilidades,Habilidades,Talents,Vaardigheden,,Навыки,Skills,技能
OPTIONS_BUTTON,Options,Opzioni,Opciones,Opções,Options,Opties,,Опции,Optionen,系统设定
HINTS_BUTTON,Hints,Consigli,Pistas,Dicas,Indices,Hints,,Подсказки,Hinweis,冒险提示
INNOCENT_DEVIL_LABEL,Innocent Devil [[R1]],Diavolo Innocente [[R1]],Demonio inocente [[R1]],Demônio Inocente [[R1]],Démon innocent [[R1]],Onschuldige Duivel [[R1]],,Непорочный Демон [[R1]],,使魔 [[R1]]
ATK_STAT,ATK,ATT,ATA,ATQ,ATQ,AVL,,АТК,ATK,总攻击力
DEF_STAT,DEF,DIF,DEF,DEF,DEF,VDG,,ЗАЩ,DEF,总防御力
STR_STAT,STR,FRZ,FUE,FOR,FOR,KRC,,СИЛ,,基础攻击力
CON_STAT,CON,FIS,CON,CON,CST,CON,,ВЫН,,物理抗性
INT_STAT,INT,INT,INT,INT,INT,INT,,ИНТ,,智力
SYN_STAT,SYN,SIN,SIN,SIN,SYN,SWK,,СИН,,同调值
MND_STAT,MND,MEN,MEN,MNT,ESP,INZ,,РАЗ,,魔法抗性
LCK_STAT,LCK,FOR,SUE,SOR,CHA,GLK,,УДЧ,GLK,幸运值
WEAPON_EQUIP_LABEL,Wpn,Arma,Arma,Arma,Arme,Wpn,,Оруж.,,武器
ARTIFACT_EQUIP_LABEL,Art.,Art.,Art.,Art.,Art.,Art.,,Арт.,Art.,遗物
RELIC_EQUIP_LABEL,Relic,Reliq.,Reliq.,Reliq.,Reliq.,Reliek,,Рел.,Relikt,魔导器
HEAD_EQUIP_LABEL,Head,Elmo,Cab.,Cab.,Tête,Hoofd,,Голова,Kopf,头部装备
BODY_EQUIP_LABEL,Body,Corpo,Torso,Corpo,Corps,Lichaam,,Тело,Körper,身体装备
LEGS_EQUIP_LABEL,Legs,Gambe,Pier.,Pernas,Jambes,Benen,,Ноги,Beine,腿部装备
ACC1_EQUIP_LABEL,Acc.1,Acc.1,Acc.1,Acs. 1,Acc.1,Acc.1,,Акс. 1,,饰品1
ACC2_EQUIP_LABEL,Acc.2,Acc.2,Acc.2,Acs. 2,Acc.2,Acc.2,,Акс. 2,,饰品2
EQUIPPED_WEAPON,Equipped Weapon,Arma equipaggiata,Arma equipada,Arma Equipada,,Aangedaan Wapen,,Экипированное Оружие,Ausgerüstete Waffe,已装备的武器
EQUIPPED_ARTIFACT,Equipped Artifact,Artefatto equipaggiato,Artefacto equipado,Artefato Equipado,,Aangedaan Artefact,,Экипированный Артефакт,Ausgerüstetes Artefakt,已装备的遗物
EQUIPPED_RELIC,Equipped Relic,Reliquia equipaggiata,Reliquia equipada,Relíquia Equipada,,Aangedaan Reliek,,Экипированная Реликвия,Ausgerüstetes Relikt,已装备的魔导器
EQUIPPED_HEADGEAR,Equipped Headgear,Elmo equipaggiato,Tocado equipado,Capacete Equipado,,Aangedaan Hoofduitrusting,,Экипировка Головы,Ausgerüstete Kopfbedeckung,已穿戴的头部装备
EQUIPPED_BODY,Equipped Armor,Armatura equipaggiata,Armadura equipada,Armadura Equipada,,Aangedaan Harnas,,Экипированная Броня,Ausgerüstete Rüstung,已穿戴的身体装备
EQUIPPED_LEGS,Equipped Legs,Armatura inferiore equipaggiata,Piernas equipadas,Botas Equipadas,,Aangedaan Benenuitrusting,,Экипировка Ног,Ausgerüstete Hose *,已穿戴的腿部装备
EQUIPPED_ACC1,Equipped Accessory 1,Accessorio 1 equipaggiato,Accesorio 1 equipado,Acessório Equipado 1,,Aangedaan Accessoire 1,,Экипированный Аксессуар 1,,已装备的饰品1
EQUIPPED_ACC2,Equipped Accessory 2,Accessorio 2 equipaggiato,Accesorio 2 equipado,Acessório Equipado 2,,Aangedaan Accessoire 2,,Экипированный Аксессуар 2,,已装备的饰品2
CONSUMABLES_BUTTON,Consumables,Consumabili,Consumibles,Consumíveis,Consommables,Gebruiksvoorwerpen,,Расходники,Verbrauchsgegenstand,消耗道具
COLLECTIBLES_BUTTON,Collectibles,Collezionabili,Coleccioables,Colecionáveis,Collectibles,Verzamelobjecten,,Коллекция,,收藏道具
RARE_ITEMS_BUTTON,Rare Items,Oggetti rari,Objetos raros,Itens Raros,Objets rares,Zeldzame Voorwerpen,,Редкие предметы,Seltener Gegenstand,稀有道具
MATERIALS_BUTTON,Materials,Materiali,Materiales,Materiais,Materiaux,Materialen,,Материалы,Materialien,材料
STATUS_LABEL,Status,Stato,Estado,Estado,Statut,Staat,,Статус,Status,状态
GOOD_STATUS,Good,Sta bene,Bueno,Bom,Bon,Prima,,В норме,Gut,良好
POISON_STATUS,Poison,Veleno,Veneno,Veneno,Poison,Vergiftigd,,Отравлен,Gift,中毒
CURSE_STATUS,Curse,Anatema,Maldición,Maldição,Maudit,Vervloekt,,Проклят,Fluch,受诅咒
STONE_STATUS,Stone,Pietrificato,,,,,,,,
ENFEEBLE_STATUS,Enfeeble,Indebolito,,,,,,,,
WEAPON_AFFINITY_LABEL,Weapon affinity,Competenza con le armi,Afinidad con armas,Afinidade de arma,Affinité d'armes,Wapen Affiniteit,,Оружейный навык,Waffenaffinität,武器适性
KEY_ITEMS_BUTTON,Key items,Oggetti chiave,Objetos clave,Itens-chave,Objets clés,Belangrijke Objecten,,Ключевые предметы,Schlüsselgegenstände,重要道具
ORBS_BUTTON,Orbs,Globi,Orbes,Orbes,Orbes,Orbs,,Сферы,Orbs,宝珠
TECHNIQUES_BUTTON,Techniques,Tecniche,Técnicas,Técnicas,Techniques,Technieken,,Техники,Techniken,技能
OTHER_BUTTON,Other,Altro,Otros,Outros,Autres,Andere,,Прочее,Andere,其他
REQUIRED_MATERIALS_LABEL,Required materials,Materiali necessari,Materiales requeridos,Materiais necessários,Matériaux requis,Benodigde Materialen,,Необходимые материалы,Benötigte Materialien,所需的材料
SWORDS_BUTTON,Swords,Spade,Espadas,Espadas,Épées,Zwaarden,,Мечи,Schwerter,单手剑
GREATSWORDS_BUTTON,Greatswords,Spadoni,Espadones,Espadões,Grandes épées,Grootzwaarden,,Двуручные мечи,Langschwerter,双手剑
AXES_BUTTON,Axes,Asce,Hachas,Machados,Haches,Bijlen,,Топоры,Äxte,斧头
SPEARS_BUTTON,Spears,Lance,Lanzas,Lanças,Lances,Speren,,Копья,Speere,长矛
KNUCKLES_BUTTON,Knuckles,Tirapugni,Manoplas,Soqueiras,Poings,Handschoenen,,Кастеты,Schlagringe,拳套
SPECIAL_BUTTON,Special,Speciali,Especial,Especial,Spécial,Speciaal,,Особое,Spezial,特殊
HEADGEAR_BUTTON,Headgear,Copricapo,Tocado,Elmo,Couvre-chefs,Hoofduitrusting,,Голова,Kopfbedeckung,头部装备
BODY_BUTTON,Body,Corpo,Torso,Corpo,Corps,Lichaam,,Тело,Körper,身体装备
LEGS_BUTTON,Legs,Gambe,Piernas,Pernas,Jambes,Benen,,Ноги,Beine,腿部装备
CONFIRM_CRAFT_BUTTON,Proceed with the combination?,Procedere con la combinazione?,¿Proceder con la combinación?,Prosseguir com a combinação?,Procéder à la combinaison ?,Voltooi de combinatie?,,Комбинировать?,Diese Gegenstände zusammenführen?,确定要进行炼金合成吗？
EQUIPPED_ITEM_FOR_CRAFTING_WARNING,You will lose your currently equipped gear highlighted in yellow.,Perderai i pezzi di equipaggiamento evidenziati in giallo.,"Perderás el objeto actualmente equipado que está resaltado en amarillo.",Você perderá o item atualmente equipado que está destacado em amarelo.,,Je zal permanent de huidige uitrusting (die je aan hebt) die geel gemarkeerd is verliezen.,,"Вы лишитесь экипированного снаряжения, выделенного жёлтым.",Die gelb markierte Ausrüstung geht verloren.,你会失去当前已穿戴的，由黄色高亮显示的装备。
YES_BUTTON,Yes,Sì,Sí,Sim,Oui,Ja,,Да,Ja,是
NO_BUTTON,No,No,No,Não,Non,Nee,,Нет,Nein,否
PRODUCED_PREFIX_MESSAGE,Produced,Ottenuto,Producido/a,Produziu,Fabriqué :,Gemaakt,,Создано,Hergestellt,已打造
GRAPHICS_BUTTON,Graphics,Grafica,Gráficos,Gráficos,Graphismes,Grafisch,,Графика,Grafik,图像设定
AUDIO_BUTTON,Audio,Audio,Audio,Áudio,Audio,Audio,,Звук,Audio,音效设定
CONTROLS_BUTTON,Controls,Comandi,Controles,Controles,Commandes,Bestuuring,,Управление,Tastenbelegung,按键与操作设定
GAME_BUTTON,Game,Gioco,Juego,Jogo,Jeu,Spel,,Игра,Spiel,游戏设定
WINDOW_MODE_OPTION,Window mode,Finestra di gioco,Modo de ventana,Modo janela,Mode de fenêtre,Venster modus,,Режим окна,Fenstermodus,显示模式
WINDOW_RESOLUTION_OPTION,Window resolution,Risoluzione,Resolución,Resolução da tela,Résolution de la fenêtre,Venster resolutie,,Разрешение,Bildschirmauflösung,窗口分辨率大小
SPRITE_SCALING_OPTION,Sprite scaling,Sprite,Escalado de sprites,Escala de sprites,Échelle des sprites,Sprite schaal,,Масштабирование спрайтов,Sprite Skalierung,像素绘制模式
VERTICAL_SYNC_OPTION,Vertical sync,V-Sync,V-Sync,Sincronização Vertical,V-Sync,Verticale synchronisatie,,Вертикальная синхронизация,V-Sync,垂直同步
ADJUST_FRAMERATE_OPTION,Change framerate,Cambia FPS,Cambiar FPS,Alterar taxa de quadros,,Verander frame per seconde,,Частота кадров,Bildwiederholrate Anpassen,帧率设定
SHOW_FRAMERATE_OPTION,Show framerate,Mostra FPS,Mostrar FPS,Mostrar FPS,Montrer taux de rafraîchissement,Frame per seconde zichtbaar,,Видимость кадров,Bildwiederholrate Anzeigen,实时显示当前帧率
MASTER_VOLUME_OPTION,Master volume,Volume del gioco,Volúmen maestro,Volume mestre,Volume principal,Algmemeen volume,,Общая громкость,Allgemeine Lautstärke,主音量
SFX_VOLUME_OPTION,SFX volume,Volume dei suoni,Volúmen de sonido,Volume de efeitos sonoros,Volume des effets,Geluid Effect volume,,Громкость эффектов,Effekt Lautstärke,效果音音量
MUSIC_VOLUME_OPTION,Music volume,Volume della musica,Volúmen de música,Volume de música,Volume des musiques,Muziek volume,,Громкость музыки,Musik Lautstärke,音乐音量
VOICE_VOLUME_OPTION,Voice volume,Volume delle voci,Volúmen de voz,Volume de voz,Volume des voix,Stem volume,,Громкость голосов,Dialog Lautstärke,语音音量
CONTROLLER_LAYOUT_OPTION,Controller layout,Tipo di layout,Configurar mando,Configurar controles,Configurer la manette,Controller indeling,,Расположение кнопок,Controller Belegung,控制器按键图标模式
INPUT_BUFFERING_OPTION,Input buffering,Buffer dei comandi,Buffer de entrada,Buffer de entrada,Input Buffer,Invoer bufferen,,Буферизация ввода,Eingabeverzögerung,预输入缓冲
INPUT_DEVICE_OPTION,Input device,Tipo di input,Tipo de entrada,Tipo de entrada,Type d'entrée,Invoer apparaat,,Устройство ввода,Eingabegerät,输入设备
LEFT_KEY,Left,Sinistra,Izquierda,Esquerda,Gauche,Links,,Влево,Links,左
RIGHT_KEY,Right,Destra,Derecha,Direita,Droite,Rechts,,Вправо,Rechts,右
UP_KEY,Up,Su,Arriba,Cima,Haut,Boven,,Вверх,Hoch,上
DOWN_KEY,Down,Giù,Abajo,Baixo,Bas,Beneden,,Вниз,Runter,下
ATTACK_KEY,Attack,Attacca,Ataque,Ataque,Attaque,Aanval,,Атака,Angriff,攻击
JUMP_KEY,Jump,Salta,Salto,Pulo,Saut,Spring,,Прыжок,Springen,跳跃
SKILL_KEY,Skill,Tecniche,Habilidad,Habilidade,Aptitude,Vaardigheid,,Навык,Skill,主人公技能
ID_KEY,ID Skill,Mossa D.I.,Habilidad D.I.,Habilidade D.I.,Aptitude D.I.,ID Vaardigheid,,Умение НД,,使魔技能
BACKDASH_KEY,Backdash,Schivata,Esquivar,Esquiva,Esquive,Achteruitschuif,,Рывок назад,,急退
GUARD_KEY,Guard,Parata,Guardia,Defesa,Garde,Verdedig,,Блок,Wache,防御
INVENTORY_KEY,Inventory,Inventario,Inventario,Inventário,Inventaire,Inventaris,,Инвентарь,Inventar,装备菜单
MAP_KEY,Map,Mappa,Mapa,Mapa,Carte,Kaart,,Карта,Karte,地图
SWITCH_KEY,Switch,Cambia,Cambiar,Trocar,Alterner,Verwissel,,Переключение,Wechseln,切换
RESET_KEYS_BUTTON,Reset buttons,Reimposta,Restablecer,Resetar botões,Réinitialiser,Reset knoppen,,Вернуть по умолчанию,Zurücksetzen ,重置按键为预设值
LANGUAGE_OPTION,Language,Lingua,Idioma,Idioma,,Taal,,Язык,Sprache,语言设定
RUMBLE_OPTION,Controller vibration,Vibrazione del controller,Volver a la pantalla de título,Vibração,,Controller vibratie,,Вибрация контроллера,Controller Vibration,控制器震动设定
TITLE_SCREEN_OPTION,Return to title screen,Torna alla schermata del titolo,Ir a la pantalla de título,Retornar à tela de título,Retourner à l'écran titre,Terug naar beginscherm,,Вернуться на заглавный экран,Zurück zum Hauptmenü,返回标题主界面
QUIT_GAME_OPTION,Quit game,Esci dal gioco,Salír del juego,Sair do jogo,Quitter le jeu,Stop spel,,Выйти из игры,Spiel beenden,退出游戏
WINDOW_MODE_DESC,Change the window display mode. Objects may not be displayed properly on Stretch mode.,Cambia il tipo di finestra. Gli oggetti potrebbero essere deformati con l'opzione Allarga.,Cambia el modo de la ventana. Puede ser que los objetos no se visualicen apropiadamente en el modo ancho.,Altere o modo de exibição da janela. Os objetos podem não ser exibidos corretamente no modo Esticar.,"Changer le mode d'affichage de la fenêtre.
Certains objets peuvent mal s'afficher en mode Étiré.",Verander de venster modus. Objecten kunnen verkeerd afgebeeld zijn in Strek modus.,,"Изменение режима отображения окна. В режиме ""Растягивание"" объекты могут отображаться некорректно.",,变更当前的显示模式。部分场景物件可能在拉伸模式下无法正常显示。
WINDOW_RESOLUTION_DESC,"Change window size, if in Windowed mode. Objects may not be displayed properly on 240p/720p.",Cambia la dimensione della finestra. Gli oggetti potrebbero essere deformati a 240p/720p.,"Cambia el tamaño, si está en modo ventana. Puede ser que los objectos no se visualicen apropiadamente en 240p/720p.","Altere o tamanho da janela, se estiver no modo Janela. Os objetos podem não ser exibidos corretamente em 240p/720p.","Changer la taille de la fenêtre en mode Fenêtré.
Les objets peuvent mal s'afficher en 240p/720p.","Verander de venster resolutie, als je in Venster Modus bent. Objecten kunnen verkeerd afgebeeld zijn bij 240p/720p.",,"Изменение размера окна, если используется ""Оконный"" режим. Объекты могут отображаться некорректно при разрешении 240p/720p.",,在窗口模式下更改窗口的大小。部分场景物件可能在240p或720p尺寸下无法正常显示。
FIT_SCREEN_RESOLUTION,Fit Screen,Adatta a schermo,Ajustar a pantalla,Ajustar à janela,,Pas aan naar scherm.,,Размер окна,,适应显示器
SPRITE_SCALING_DESC,"Change the way the objects are drawn. Viewport increases performance, but reduces image quality.","Cambia il modo in cui gli oggetti sono disegnati. La modalità Viewport aumenta la performance, ma con grafica potenzialmente inferiore.","Cambia la forma de renderización de objetos. La ventana gráfica mejora rendimiento, pero reduce la calidad de imagen.","Altere a forma como os objetos são desenhados. A viewport melhora o desempenho, mas reduz a qualidade da imagem.","Changer la methode d'affichage des objets. Viewport améliore les performances, mais réduit la qualité d'image.","Verander hoe objecten worden afgebeeld. Kijkvenster verhoogt prestatie, maar verlaagt afbeeldingskwaliteit.",,"Изменение способа прорисовки объектов. Видовой экран повышает производительность, но снижает качество изображения.",,变更场景中活动物件的渲染模式。Viewport 模式可以改善游戏的性能，但是渲染质量可能下降。
VERTICAL_SYNC_DESC,"Enable or disable V-Sync. Disabling it might reduce input lag, but it can introduce tearing.","Abilita o disabilita la sincronizzazione verticale. Disabilitarla comporta a un minore ritardo nei comandi, ma potrebbe verificarsi tearing.","Habilita o deshabilita el V-Sync. Puede reducir retraso de entrada, pero introduce desgarros visuales si inactivo.","Habilite ou desabilite o V-Sync. Desabilitá-lo pode reduzir o atraso de entrada, mas pode causar artefatos na tela.","Dés/activer La synchronisation verticale. La désactiver peut réduire le délai, mais aussi créer du déchirement d'écran.","Doe V-Sync aan of uit. Uitdoen kan invoer vertraging verlagen, maar kan ook schermscheuren veroorzaken.",,"Включение или отключение вертикальной синхронизации. Отключение может уменьшить задержку ввода, но также привести к разрыву изображения.",,启用或禁用垂直同步。如果禁用的话输入延迟可能会降低，但是在部分设备上会导致画面撕裂。
SHOW_FRAMERATE_DESC,Enable or disable an FPS counter.,Mostra o nasconde l'indicatore di FPS.,Muestra ó esconde el indicador de FPS.,Habilite ou desabilite o contador de FPS.,Dés/activer le compteur d'images par seconde.,Doe de FPS teller aan of uit.,,Включение или отключение счётчик кадров.,,启用或禁用帧率计时器。
ADJUST_FRAMERATE_DESC,"Change the refresh rate of the game.
Uncapped option only works with V-Sync disabled.","Cambia la frequenza di aggiornamento dello schermo del gioco.
L'opzione Illimitata funziona solo con V-Sync disabilitato.","Cambiar la frecuencia de actualización del juego.
La opción ilimitada solo funciona con V-Sync deshabilitado.
","Altere a taxa de atualização do jogo.
A opção ""Ilimitada"" só funciona com a Sincronização Vertical (V-Sync) desativada.",,"Verander de vernieuwingssnelheid van de game.
Ongelimiteerde optie werkt alleen met V-Sync uit.",,"Изменение частоты обновления кадров.
Опция ""без ограничений"" работает только при отключенной вертикальной синхронизации.",,"调整游戏的帧刷新率。
不限制帧率的选项只在“垂直同步”设定为“关闭”时起作用。"
MASTER_VOLUME_DESC,Change the volume of the game.,Cambia il volume del gioco.,Cambia el volúmen del juego.,Altere o volume do jogo.,Changer le volume du jeu.,Verander het volume van het spel.,,Изменение громкости игры.,,调整游戏的全局主音量。
SFX_VOLUME_DESC,Change the volume of sound effects.,Cambia il volume degli effetti sonori.,Cambia el volúmen de los efectos de sonido.,Altere o volume dos efeitos sonoros.,Changer le volume des effets sonores.,Verander het volume van geluidseffecten.,,Изменение громкости звуковых эффектов.,,调整效果音的音量。
MUSIC_VOLUME_DESC,Change the volume of music.,Cambia il volume della musica.,Cambia el volúmen de la música.,Altere o volume da música.,Changer le volume des musiques.,Verander het volume van de muziek.,,Изменение громкости музыки.,,调整背景音乐的音量。
VOICE_VOLUME_DESC,Change the volume of voices.,Cambia il volume delle voci.,Cambia el volúmen de las voces.,Altere o volume das vozes.,Changer le volumes des voix.,Verander het volume van stemmen.,,Изменение громкости голосов.,,调整语音的音量。
CONTROLLER_LAYOUT_DESC,Pick which controller scheme the game should refer to when showing button icons.,Indica che tipo di controller a cui riferirsi quando vengono mostrati pulsanti sullo schermo.,Elige a que esquema de mando el juego debería referirse al mostrar los íconos de botones.,Escolha qual esquema de controle o jogo deve usar ao mostrar ícones de botões.,Choisir à quel schéma de commandes le jeu doit se référer en affichant les icones des boutons.,Kies welk controller schema van het spel je bekijkt wanneer de knop iconen zichtbaar zijn.,,"Выбор того, на какую схему управления будет ссылаться игра при отображении значков кнопок.",,调整在游戏中出现游戏控制器图标时，你想要使用的图标样式。
INPUT_BUFFERING_DESC,Adjust the size of input buffering. Higher values can improve input feedback.,Modifica la finestra del buffer dei comandi. Valori maggiori possono migliorare il feedback dei pulsanti.,Ajusta la flexibilidad del buffer de entrada. Valores más altos pueden mejorar la respuesta de entrada.,Ajuste o tamanho do buffer de entrada. Valores mais altos podem melhorar o feedback de entrada.,Ajuster la taille du tampon. Une valeur plus élevée peut améliorer la réponse des entrées.,Verander de grote van invoer bufferen. Hogere waarden kunnen invoer ervaring verbeteren.,,Изменение размера буферизации входных данных. Более высокие значения могут улучшить отклик при вводе.,,调整预输入的缓冲时长。更高的数值可以改善输入反馈。
INPUT_DEVICE_DESC,Press this button to remap buttons on the selected device.,Premi questo pulsante per cambiare la funzione dei pulsanti sul dispositivo utilizzato.,Presiona éste botón para reconfigurar los controles del dispositivo seleccionado.,Pressione este botão para remapear botões no dispositivo selecionado.,Appuyer ici pour reconfigurer les boutons sur l'appareil choisi.,Druk deze knop om de knoppen opnieuw in te stellen op het geselecteerde apparaat.,,Переназначение кнопок на выбранном устройстве.,,选择该选项来对你的设备重新进行按键映射。
LANGUAGE_DESC,Change the language of in-game text.,Cambia la lingua del gioco.,Cambia el idioma del texto del juego.,Altere o idioma do texto no jogo.,,Verander de taal van de tekst in het spel.,,Изменение языка игры.,,更改游戏的字幕语言。
RUMBLE_DESC,Enable or disable controller vibration.,Attiva o disattiva la vibrazione del controller.,Habilita o deshabilita la vibración del mando.,Habilite ou desabilite a vibração do controle.,,Doe controller vibratie aan of uit.,,Включение или отключение вибрации контроллера.,,启用或禁用手柄震动。
TITLE_SCREEN_DESC,"Return to the title screen.
Be sure to save your data.","Torna alla schermata del titolo.
Assicurati di salvare i dati prima di farlo.","Regresa a la pantalla de título.
Asegúrate de guardar la partida.","Retorne à tela inicial.
Certifique-se de salvar o jogo.","Retour à l'écran titre.
Assurez-vous d'avoir sauvegardé.","Ga terug naar het beginscherm.
Wees zeker dat je je data hebt opgeslagen.","العودة للشاشة الرئيسية.
تأكد من تخزين تقدمك.","Возвращает к заглавному экрану.
Не забудьте сохраниться перед нажатием.",,"返回标题主界面。
请确认你在返回前已保存了最近的游戏进度。"
QUIT_GAME_DESC,"Closes the game.
Be sure to save your data before closing.","Termina il gioco.
Assicurati di salvare i dati prima di chiudere.","Salir del juego.
Asegúrate de guardar la partida antes de salir.","Sair do jogo.
Certifique-se de salvar o jogo antes de sair.","Ferme le jeu.
Assurez-vous d'avoir sauvegardé avant de fermer.","Sluit het spel.
Wees zeker dat je je data hebt opgeslagen voordat je weggaat.","الخروج من اللعبة.
تأكد من تخزين تقدمك قبل الخروج من اللعبة.","Закрывает игру.
Не забудьте сохраниться перед закрытием.",,"关闭游戏。
请确认你在关闭游戏前已保存了最近的游戏进度。"
WINDOWED_LABEL,Windowed,Finestra,Ventana,Janela,Fenêtré,Venster,وضعية النافذة,Оконный,Fenstermodus,窗口模式
FULLSCREEN_LABEL,Fullscreen,Schermo intero,Pantalla completa,Tela cheia,Plein écran,Volledig Scherm,وضعية الشاشة الكاملة,Полноэкранный,Vollbild,全屏模式，等比例
STRETCH_LABEL,Stretch,Allarga,Anchar,Esticar,Étiré,Strek,,Растягивание,,全屏模式，拉伸
ENABLED_LABEL,Enabled,Attivato,Activado,Ativado,Activé,Aan,متاح,Включено,Aktiviert,启用
DISABLED_LABEL,Disabled,Disattivato,Desactivado,Desativado,Désactivé,Uit,غير متاح,Отключено,Deaktiviert,禁用
NO_LABEL,No,No,No,Não,Non,Nee,لا,Нет,Nein,否
YES_LABEL,Yes,Sì,Sí,Sim,Oui,Ja,نعم,Да,Ja,是
CONTROLLER_LABEL,Controller,Controller,Mando,Controle,Manette,Controller,وحدة التحكم,Контроллер,Controller,游戏控制器
KEYBOARD_LABEL,Keyboard,Tastiera,Teclado,Teclado,Clavier,Toetsenbord,لوحة المفاتيح,Клавиатура,Tastatur,键盘
HIDE_ITEM_STATS_LABEL,[[R1]] Hide item stats,[[R1]] Nascondi parametri,[[R1]] Esconder estadísticas,[[R1]] Ocultar estatísticas do item,,[[R1]] Laat object attributen niet zien.,,[[R1]] Скрыть характеристики предметов,,[[R1]] 隐藏物品状态信息
SHOW_ITEM_STATS_LABEL,[[R1]] Show item stats,[[R1]] Mostra parametri,[[R1]] Mostrar estadísticas,[[R1]] Exibir estatísticas do item,,[[R1]] Laat object attributen zien.,,[[R1]] Показывать характеристики предметов,,[[R1]] 显示物品状态信息
ITEM_INFO_LABEL,Item information,Parametri dell'oggetto,Información del objeto,Informações do item,,Object informatie,,Информация о предмете,Gegenstandsinfo,物品信息
ITEM_VALUE_LABEL,Value,Valore,Valor,Valor,,Waarde,,Цена,Wert,价值
ITEM_MAX_CAPACITY_LABEL,Can hold up to max,Quantità massima,Cantidad máxima,Pode carregar no máximo,,Kan maximaal vasthouden,,Максимальная вместимость,,最大可持有
ITEM_LAND_CANCEL_LABEL,Allows land cancel,Attacco cancellabile,Cancelable al aterrizar,Cancelável ao aterrissar,,Kan landen annuleren,,Прерывает атаку при приземлении,,可以进行着地取消
ITEM_TYPE_LABEL,Weapon type,Tipo dell'arma,Tipo de arma,Tipo de arma,,Wapen Type,,Тип оружия,,武器类别
SWORD_TYPE_LABEL,Sword,Spada,Espada,Espada,,Zwaard,,Меч,Schwert,单手剑
GREATSWORD_TYPE_LABEL,Greatsword,Spadone,Espadón,Espadão,,Grootzwaard,,Двуручный меч,Langschwert,双手剑
AXE_TYPE_LABEL,Axe,Ascia,Hacha,Machado,,Bijl,,Топор,Axt,斧头
SPEAR_TYPE_LABEL,Spear,Lancia,Lanza,Lança,,Speer,,Копьё,Speer,长矛
KNUCKLES_TYPE_LABEL,Knuckle,Tirapugni,Manopla,Soqueira,,Handschoen,,Кастет,Schlagring,拳套
SPECIAL_TYPE_LABEL,Special,Speciale,Especial,Especial,,Speciaal,,Особое,,特殊
ATTRIBUTE_LABEL,Attribute,Elemento,Elemento,Elemento,,Eigenschap,,Аттрибут,Attribut,属性
